,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,0,1,0,1,0,0,0,1,0,1,0,0,1,-0.5613632320695808,-0.5024451714361923
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0.6131818322662954,0.7868452935884461
2,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.26772696598561174,-0.4888542575852486
3,1,1,0,0,1,0,0,1,1,0,1,0,0,0.3929546327033186,0.4207302360686478
4,0,0,0,1,0,0,0,1,0,1,0,0,1,0.3929546327033186,-0.4863374216869257
5,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.42710153001403584,-0.47811642890864375
6,0,0,0,0,1,0,0,1,0,1,1,0,0,1.7877268966021715,0.395813560675251
7,0,3,1,1,0,0,0,1,0,1,0,0,1,-2.029544562489426,-0.22408312108167944
8,1,0,2,1,0,0,0,1,1,0,0,0,1,-0.19431789946461947,-0.4242561406845337
9,1,1,0,1,0,1,0,0,1,0,0,1,0,-1.148635764237519,-0.04295550208861426
10,1,1,1,0,1,0,0,1,1,0,0,0,1,-1.8827264294474415,-0.312172377522981
11,1,0,0,0,1,0,0,1,1,0,1,0,0,2.0813631626861406,-0.11384570873513637
12,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081813651115653,-0.4863374216869257
13,0,1,5,1,0,0,0,1,0,1,0,0,1,0.6865908987872876,-0.01870931177853076
14,0,0,0,1,0,0,0,1,1,0,0,0,1,-1.148635764237519,-0.4902797934380587
15,1,0,0,1,0,0,0,1,1,0,0,1,0,1.8611359631231639,-0.3262666585535892
16,0,4,1,1,0,0,1,0,0,1,0,0,1,-2.029544562489426,-0.06199888922968463
17,1,0,0,1,0,0,0,1,0,1,0,1,0,0.17760862587549608,-0.3866707201133388
18,0,1,0,1,0,0,0,1,1,0,0,0,1,0.09931836661934956,-0.2859972841804228
19,1,0,0,1,0,1,0,0,1,0,0,0,1,-0.00945881067615335,-0.5029485386158568
20,0,0,0,1,0,0,0,1,0,1,0,1,0,0.3929546327033186,-0.12491978668775715
21,1,0,0,0,1,0,0,1,0,1,0,1,0,0.3195455661823263,-0.3866707201133388
22,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0752266977165266,-0.4867562231804066
23,1,0,0,0,1,0,0,1,0,1,1,0,0,-0.12090883294362723,0.06635974158478332
24,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.5890901633634724,-0.22408312108167944
25,1,1,5,1,0,0,0,1,1,0,0,0,1,0.6131818322662954,-0.016444159470040135
26,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.00945881067615335,-0.5029485386158568
27,0,3,2,0,1,0,0,1,0,1,1,0,0,-0.7815904316325576,4.647001076532463
28,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5334594740350361,-0.48977642625839407
29,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12478437924093588,-0.4894421904510968
30,0,0,0,1,0,1,0,0,0,1,1,0,0,0.7599999653082798,-0.09027201697708476
31,1,1,0,0,1,1,0,0,1,0,1,0,0,0.4743565925789988,2.301728820789
32,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146708183488622,-0.49237782784290063
33,0,0,0,1,0,0,0,1,0,1,0,1,0,2.668635694854079,-0.43700743807979686
34,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.12090883294362723,1.0060617003323709
35,0,1,0,1,0,0,0,1,0,1,1,0,0,0.9068180983502644,0.39858208016340624
36,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.4970343633524355,-0.5028639729296732
37,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634772298590573,-0.4863374216869257
38,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8549994981535498,-0.2859972841804228
39,1,1,0,1,0,1,0,0,1,0,0,0,1,-1.148635764237519,-0.42207354059350805
40,0,1,0,1,0,0,0,1,1,0,0,0,1,0.7599999653082798,-0.4576454924460446
41,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.19431789946461947,-0.22559322262067316
42,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.12478437924093588,-0.4894421904510968
43,1,1,2,1,0,1,0,0,1,0,0,1,0,-1.9561354959684336,0.18876253192945994
44,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.7815904316325576,-0.48977642625839407
45,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07771604418347255,-0.4863374216869257
46,0,1,0,1,0,0,1,0,0,1,0,0,1,0.25555625468156506,-0.3363340021468808
47,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146708183488622,-0.49237782784290063
48,0,2,0,1,0,1,0,0,0,1,0,0,1,-0.45428723828650885,-0.21191774308354583
49,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.8549994981535498,-0.29002422161773944
50,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.6624992298844647,0.1506737441786005
51,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634772298590573,-0.4913710934835715
52,1,1,0,0,1,1,0,0,1,0,1,0,0,1.4206815639972101,0.8964967865378598
53,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.04749976642263496,-0.12491978668775715
54,0,0,1,0,1,1,0,0,0,1,1,0,0,2.5952266283330867,0.5995101505357573
55,1,0,0,0,1,0,0,1,0,1,1,0,0,1.0583953673923279,0.06635974158478332
56,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.634772298590573,-0.43700743807979686
57,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.08420429968313109,-0.5028639729296732
58,1,1,2,1,0,0,0,1,1,0,0,1,0,-1.8093173629264492,-0.08968408411123653
59,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.3688629638004957,0.2958951755118318
60,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.5613632320695808,-0.5028639729296732
61,1,0,0,0,1,0,0,0,1,0,1,0,0,0.6131818322662954,0.962353321387736
62,0,1,0,0,1,0,0,1,0,1,1,0,0,1.1270452979132413,1.0323213593611125
63,0,3,2,1,0,0,0,1,0,1,0,0,1,-1.8827264294474415,-0.08666388103324908
64,0,0,0,1,0,1,0,0,0,1,1,0,0,0.8480973401943294,-0.09027201697708476
65,1,1,1,1,0,1,0,0,0,1,0,0,1,-0.92178344885607,-0.3414522396297103
66,1,0,0,0,1,0,0,1,1,0,0,1,0,-0.04749976642263496,-0.43700743807979686
67,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7815904316325576,-0.4841568350646187
68,1,4,2,1,0,0,0,1,1,0,0,0,1,-0.928408564674542,-0.4888542575852486
69,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.26772696598561174,-0.47400492578514347
70,0,0,0,1,0,0,0,1,0,1,0,1,0,0.1727274331403418,-0.43700743807979686
71,0,5,2,1,0,0,0,1,1,0,0,0,1,-1.0018176311955342,0.2958951755118318
72,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.634772298590573,0.8314778546749452
73,0,1,0,1,0,1,0,0,0,1,0,0,1,-0.26772696598561174,-0.3573908580066095
74,1,0,0,1,0,0,0,1,0,1,0,0,1,0.1727274331403418,0.48910360681684706
75,0,0,0,0,1,0,0,1,0,1,0,0,1,-0.341136032506604,-0.494391296561559
76,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12478437924093588,-0.4894421904510968
77,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07771604418347255,-0.4863374216869257
78,1,0,2,1,0,0,0,1,0,1,0,1,0,-2.1154331703189873,-0.06451572512800753
79,1,0,0,1,0,0,0,1,1,0,0,0,1,0.0259093000983573,-0.397241430886295
80,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613632320695808,-0.46720946885967163
81,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.04749976642263496,-0.45714212526638004
82,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.4642703901185557,-0.49162277707340374
83,0,0,0,1,0,0,0,1,0,1,1,0,0,-0.12090883294362723,0.29992211294914856
84,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.928408564674542,-0.43700743807979686
85,1,3,0,1,0,0,0,1,1,0,0,0,1,0.24613649966133408,-0.32928686163157667
86,0,1,3,1,0,0,0,1,0,1,0,0,1,-1.0018176311955342,0.04370821849987721
87,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07771604418347255,-0.4863374216869257
88,1,3,2,0,1,0,0,1,1,0,1,0,0,-0.4879541655485885,4.647001076532463
89,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145450990275963,-0.4863374216869257
90,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.04749976642263496,-0.4863374216869257
91,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081813651115653,-0.4902797934380587
92,0,1,0,0,1,0,0,1,0,1,1,0,0,1.2004543644342334,0.5833178351003071
93,0,1,2,1,0,0,0,1,0,1,0,0,1,-0.26772696598561174,-0.23415046467497105
94,0,0,0,1,0,0,0,1,0,1,0,0,1,2.1547722292071327,-0.5024451714361923
95,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07771604418347255,-0.4863374216869257
96,0,0,0,0,1,1,0,0,0,1,1,0,0,3.0356810274590402,0.0493298231623713
97,1,0,1,0,1,1,0,0,0,1,1,0,0,-0.4879541655485885,0.6272778976347743
98,1,0,1,1,0,0,0,1,1,0,0,1,0,0.3195455661823263,-0.18532384824750675
99,0,1,0,1,0,0,0,1,0,1,0,1,0,0.3195455661823263,-0.12491978668775715
100,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.12090883294362723,-0.4894421904510968
101,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12478437924093588,-0.4894421904510968
102,0,0,1,0,1,0,0,1,0,1,1,0,0,-0.634772298590573,0.907737982394129
103,0,0,0,1,0,0,0,1,0,1,0,0,1,0.24613649966133408,-0.4741720436887921
104,0,2,0,1,0,0,0,1,0,1,0,0,1,0.5397727657453031,-0.4888542575852486
105,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12090883294362723,-0.4894421904510968
106,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.634772298590573,-0.494391296561559
107,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.15647888319444955,-0.4918744606632361
108,0,0,0,1,0,0,0,1,0,1,0,0,1,0.6131818322662954,-0.4894421904510968
109,1,1,0,1,0,0,1,0,1,0,0,0,1,0.2860090067404486,-0.1621689579829361
110,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2738634309552257,0.39858208016340624
111,0,1,0,1,0,1,0,0,1,0,0,0,1,-1.1119312309770226,-0.3573908580066095
112,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613632320695808,-0.4863374216869257
113,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.7081813651115653,-0.4505983519307405
114,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.928408564674542,-0.3573083057891445
115,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634772298590573,-0.4888542575852486
116,0,0,0,1,0,0,1,0,0,1,0,0,1,2.998976494198544,-0.49237782784290063
117,0,1,0,1,0,0,0,1,0,1,0,1,0,-0.04749976642263496,-0.22559322262067316
118,0,0,1,0,1,1,0,0,0,1,1,0,0,-0.4145450990275963,4.335332226633905
119,0,4,2,1,0,0,0,1,1,0,0,0,1,-2.029544562489426,-0.01870931177853076
120,0,2,0,1,0,0,0,1,0,1,0,1,0,-0.634772298590573,0.8314778546749452
121,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07771604418347255,-0.4863374216869257
122,0,1,0,1,0,1,0,0,0,1,0,1,0,0.20943196640083794,-0.04295550208861426
123,1,0,0,0,1,0,0,1,1,0,0,1,0,0.20943196640083794,-0.3866707201133388
124,0,0,1,0,1,0,0,1,0,1,1,0,0,1.7877268966021715,0.907737982394129
125,1,1,0,1,0,1,0,0,0,1,0,0,1,-1.2954538972795033,-0.42207354059350805
126,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146708183488622,-0.49237782784290063
127,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145450990275963,-0.5046257580584992
128,1,1,1,0,1,1,0,0,1,0,0,0,1,-0.28288579256928614,-0.19824427701513722
129,0,0,0,1,0,0,0,1,0,1,0,0,1,1.1270452979132413,-0.5079822104125026
130,0,0,0,1,0,1,0,0,0,1,0,0,1,0.24613649966133408,-0.4894421904510968
131,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081813651115653,-0.5064721088735089
132,0,1,0,1,0,0,0,1,1,0,0,0,1,1.2738634309552257,-0.35646868933346404
133,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.04749976642263496,-0.12491978668775715
134,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.341136032506604,-0.3866707201133388
135,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.4879541655485885,-0.3454791770670269
136,1,0,2,0,1,0,0,1,1,0,1,0,0,-0.7815904316325576,-0.11921562980779811
137,0,1,0,0,1,0,0,1,0,1,1,0,0,0.5397727657453031,0.4207302360686478
138,0,0,0,1,0,0,0,1,0,1,0,0,1,-1.0018176311955342,-0.4628462821463391
139,0,0,0,0,1,1,0,0,0,1,1,0,0,-0.4145450990275963,0.9462455716384695
140,0,0,2,1,0,1,0,0,1,0,0,0,1,-0.3158533382545532,-0.3414522396297103
141,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5613632320695808,-0.49237782784290063
142,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.4145450990275963,-0.32928686163157667
143,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.7815904316325576,-0.5125125150294839
144,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.8549994981535498,-0.41687275089321363
145,0,1,1,1,0,0,0,1,0,1,0,1,0,-0.7815904316325576,0.09152810056801232
146,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.19431789946461947,-0.49145565916975514
147,0,2,2,1,0,0,0,1,1,0,0,0,1,-1.51568109684248,0.04370821849987721
148,0,0,2,0,1,0,0,1,0,1,0,1,0,0.503068232484807,-0.12491978668775715
149,0,0,0,1,0,0,0,1,0,1,0,1,0,0.9068180983502644,-0.3866707201133388
150,0,0,0,1,0,0,0,1,0,1,0,1,0,1.5674996970391948,-0.39623469652696586
151,1,1,0,0,1,0,0,1,1,0,1,0,0,-0.5613632320695808,0.6925485130875209
152,0,0,0,1,0,0,0,1,0,1,0,0,1,1.89784049638366,-0.4863374216869257
153,0,0,2,1,0,0,0,1,0,1,0,0,1,0.796704498568776,-0.35646868933346404
154,0,0,0,1,0,0,0,1,0,1,0,0,1,0.009964566742231491,-0.5011867534870308
155,0,0,1,1,0,1,0,0,0,1,1,0,0,1.5674996970391948,0.5874293382238074
156,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0018176311955342,-0.49271407711891657
157,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0259093000983573,-0.4863374216869257
158,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3027134816262534,-0.47400492578514347
159,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.378415909036027,0.7519458402879414
160,0,0,1,1,0,0,0,1,0,1,0,0,1,1.053636231392249,-0.32425318983493084
161,1,0,0,1,0,0,0,1,1,0,0,1,0,0.7599999653082798,-0.331300330350235
162,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.26772696598561174,-0.4918744606632361
163,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.928408564674542,-0.47400492578514347
164,0,4,1,1,0,0,0,1,0,1,0,0,1,-2.1029536290104183,0.1506737441786005
165,1,0,2,1,0,0,0,1,0,1,0,0,1,-1.51568109684248,-0.2351571990343002
166,1,0,1,0,1,0,0,1,1,0,1,0,0,-0.2653865276397805,0.4589861417231558
167,0,1,4,1,0,0,0,1,1,0,0,0,1,1.1270452979132413,-0.08666388103324908
168,0,0,0,1,0,0,0,1,0,1,1,0,0,1.4613704180390046,-0.12642988822675086
169,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12090883294362723,0.48910360681684706
170,0,0,0,0,1,0,0,1,0,1,1,0,0,2.3015903622491174,0.026090367211616904
171,0,4,1,1,0,0,1,0,0,1,0,0,1,-1.8827264294474415,-0.06199888922968463
172,1,1,1,1,0,0,0,1,1,0,0,0,1,-2.1029536290104183,-0.4242561406845337
173,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634772298590573,-0.4888542575852486
174,0,0,0,0,1,1,0,0,0,1,1,0,0,1.934545029644156,-0.030371322596999754
175,0,1,1,1,0,0,0,1,0,1,0,0,1,-0.8549994981535498,-0.4902797934380587
176,0,3,1,1,0,0,0,1,0,1,0,0,1,-1.6386387475803947,-0.13565761536436197
177,0,0,0,0,1,1,0,0,1,0,1,0,0,1.4940906305182025,-0.07030444769415023
178,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0259093000983573,-0.3866707201133388
179,0,0,0,1,0,0,0,1,0,1,0,0,1,0.46636369922431087,-0.6484216535389205
180,0,8,2,1,0,0,0,1,1,0,0,0,1,-1.378415909036027,0.7519458402879414
181,0,0,0,1,0,1,0,0,0,1,0,1,0,0.15209511586065003,-0.34539461138084326
182,0,4,2,1,0,0,0,1,0,1,0,0,1,-1.51568109684248,-0.016444159470040135
183,1,2,1,0,1,0,0,1,0,1,0,1,0,-2.1029536290104183,0.13683114673782454
184,1,0,2,1,0,0,0,1,1,0,0,0,1,-1.8827264294474415,-0.20495516825442542
185,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2187896174805086,0.3583127057902398
186,1,1,0,1,0,0,1,0,1,0,0,0,1,0.25555625468156506,-0.3363340021468808
187,1,0,0,1,0,0,0,1,0,1,1,0,0,1.1270452979132413,-0.11384570873513637
188,0,1,1,1,0,0,1,0,0,1,0,0,1,0.7599999653082798,-0.3363340021468808
189,0,0,0,1,0,0,0,1,0,1,0,0,1,0.46636369922431087,-0.4894421904510968
190,1,0,0,1,0,0,0,1,1,0,0,1,0,0.1727274331403418,-0.3866707201133388
191,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.7815904316325576,-0.3866707201133388
192,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.7815904316325576,-0.4902797934380587
193,1,1,1,0,1,0,0,1,0,1,0,1,0,-1.9561354959684336,-0.12491978668775715
194,1,0,0,0,1,1,0,0,1,0,1,0,0,1.053636231392249,-0.09027201697708476
195,1,0,0,0,1,1,0,0,1,0,1,0,0,2.0813631626861406,2.301728820789
196,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146708183488622,-0.49237782784290063
197,0,0,1,1,0,0,0,1,0,1,0,0,1,0.9068180983502644,-0.47920571548543794
198,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146708183488622,-0.49237782784290063
199,0,0,0,1,0,0,0,1,1,0,0,1,0,-0.4145450990275963,-0.3866707201133388
200,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12090883294362723,-0.45714212526638004
201,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.378415909036027,0.7519458402879414
202,0,0,0,1,0,0,0,1,0,1,0,0,1,0.3195455661823263,-0.5176307525123133
203,0,0,0,1,0,1,0,0,0,1,0,0,1,1.1637498311737373,-0.5029485386158568
204,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.8549994981535498,-0.4863374216869257
205,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.029544562489426,-0.43776248884929375
206,0,1,0,1,0,0,0,1,0,1,0,0,1,0.1727274331403418,-0.32928686163157667
207,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.26772696598561174,-0.2701412180209885
208,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.0018176311955342,-0.49237782784290063
209,1,0,0,0,1,1,0,0,0,1,1,0,0,0.7599999653082798,-0.024246350754841113
210,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145450990275963,-0.5064721088735089
211,1,0,0,1,0,0,0,1,1,0,0,1,0,0.3929546327033186,-0.22559322262067316
212,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613632320695808,-0.5024451714361923
213,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0259093000983573,-0.3866707201133388
214,0,1,0,1,0,0,1,0,0,1,0,0,1,0.10617696472967778,-0.49237782784290063
215,1,1,0,0,1,1,0,0,1,0,1,0,0,0.09931836661934956,1.6323350375212924
216,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.19431789946461947,-0.4888542575852486
217,0,1,0,1,0,0,0,1,0,1,0,1,0,0.9068180983502644,-0.10478509950117394
218,1,0,0,0,1,1,0,0,1,0,1,0,0,0.1727274331403418,0.8876878608937296
219,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0259093000983573,-0.43700743807979686
220,1,0,0,1,0,0,0,1,0,1,0,0,1,-1.0018176311955342,-0.4863374216869257
221,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.19431789946461947,-0.3866707201133388
